date_added,FHRSID,BusinessName,BusinessType,AddressLine1,AddressLine2,AddressLine3,AddressLine4,PostCode,LocalAuthorityName,RatingValue,RatingDate,SchemeType,NewRatingPending,Latitude,Longitude,AddressSingleLine
2026-08-01,287879,The Bite,Takeaway/sandwich shop,62 Myrtle Street,Ashington,Northumberland,,NE63 0AU,Northumberland,AwaitingInspection,,FHRS,False,55.181292,-1.566739,"62 Myrtle Street, Ashington, Northumberland, NE63 0AU"
2026-08-01,1957782,Banksia Flowers And Gifts,Takeaway/sandwich shop,2 South Parade,Chew Magna,Bristol,Bath And North East Somerset,BS40 8SH,Bath and North East Somerset,AwaitingInspection,,FHRS,True,51.3659149,-2.6105088,"2 South Parade, Chew Magna, Bristol, Bath And North East Somerset, BS40 8SH"
2026-08-01,1973941,Elevate Fuel,Takeaway/sandwich shop,,,,,,South Ribble,AwaitingInspection,,FHRS,False,,,
2026-08-01,1973977,Meow's,Takeaway/sandwich shop,,2 Pentwyn Road,Blackwood,,NP12 1HN,Caerffili,AwaitingInspection,,FHRS,False,51.669825,-3.19685,"2 Pentwyn Road, Blackwood, NP12 1HN"
2026-08-01,1974241,Fusion Treats,Takeaway/sandwich shop,Cambridge Leisure Park Clifton Way,,Cambridge,Cambridgeshire,,Cambridge City,AwaitingInspection,,FHRS,False,52.1898556,0.136434,"Cambridge Leisure Park Clifton Way, Cambridge, Cambridgeshire"
2026-08-01,1974237,Renus,Takeaway/sandwich shop,26 Milton Road,,Cambridge,Cambridgeshire,CB4 1JY,Cambridge City,AwaitingInspection,,FHRS,False,52.2153747,0.1258886,"26 Milton Road, Cambridge, Cambridgeshire, CB4 1JY"
2026-08-01,1974040,The Hatch,Takeaway/sandwich shop,Eastbourne Pier Grand Parade,,Eastbourne,East Sussex,BN21 3EL,Eastbourne,AwaitingInspection,,FHRS,False,50.7671871,0.2926715,"Eastbourne Pier Grand Parade, Eastbourne, East Sussex, BN21 3EL"
2026-08-01,1969928,The Pizza Paddock,Takeaway/sandwich shop,,,,,,Exeter City,AwaitingInspection,,FHRS,False,,,
2026-08-01,1974298,Burger Express,Takeaway/sandwich shop,,11 Harper Green Road,Farnworth,Bolton,BL4 0DL,Bolton,AwaitingInspection,,FHRS,False,53.550965,-2.414197,"11 Harper Green Road, Farnworth, Bolton, BL4 0DL"
2026-08-01,1973977,Meow's,Takeaway/sandwich shop,,2 Pentwyn Road,Blackwood,,NP12 1HN,Caerphilly,AwaitingInspection,,FHRS,False,51.669825,-3.19685,"2 Pentwyn Road, Blackwood, NP12 1HN"
2026-08-01,1974077,Kim's Kitchen,Takeaway/sandwich shop,Kims Kitchen,12 Broadway,Kingston Road,Staines-upon-Thames,TW18 1AT,Spelthorne,5,2026-06-08,FHRS,False,51.428575,-0.495176,"Kims Kitchen, 12 Broadway, Kingston Road, Staines-upon-Thames, TW18 1AT"
2026-08-01,1973985,KOKO,Takeaway/sandwich shop,13-14 Monkstown Village Centre,,Newtownabbey,,BT37 0HS,Antrim and Newtownabbey,AwaitingInspection,,FHRS,False,54.689576,-5.9167547,"13-14 Monkstown Village Centre, Newtownabbey, BT37 0HS"
2026-08-01,1973983,The Big Smoke,Takeaway/sandwich shop,24a Railway Street,,Antrim,,BT41 4AE,Antrim and Newtownabbey,AwaitingInspection,,FHRS,False,54.7151663,-6.2163886,"24a Railway Street, Antrim, BT41 4AE"
2026-08-01,1974021,Al Forno Express,Takeaway/sandwich shop,Unit 2,Retail Units,Tunstall Village Road,Sunderland,SR3 2BB,Sunderland,AwaitingInspection,,FHRS,False,54.8729045,-1.3997126,"Unit 2, Retail Units, Tunstall Village Road, Sunderland, SR3 2BB"
2026-08-01,1974022,Hendon Fry House,Takeaway/sandwich shop,35 Noble Street,Sunderland,,,SR2 8LU,Sunderland,AwaitingInspection,,FHRS,False,54.8985804,-1.3702432,"35 Noble Street, Sunderland, SR2 8LU"
2026-08-01,1810144,Coastal,Takeaway/sandwich shop,34 St Pirans Road,Perranporth,Cornwall,,TR6 0BJ,Cornwall,5,2026-07-20,FHRS,False,50.345323,-5.152447,"34 St Pirans Road, Perranporth, Cornwall, TR6 0BJ"
2026-08-01,1948756,Trevaylor Caravan And Camping Site,Takeaway/sandwich shop,Trevaylor Caravan And Camping Park,Truthwall Lane,Truthwall,St Just,TR19 7PU,Cornwall,5,2026-07-27,FHRS,False,50.1340565,-5.6840142,"Trevaylor Caravan And Camping Park, Truthwall Lane, Truthwall, St Just, TR19 7PU"
2026-08-01,1974372,Coffee on the Corner,Takeaway/sandwich shop,,97 Main Street,Largs,North Ayrshire,KA30 8AJ,North Ayrshire,Awaiting Inspection,,FHIS,False,55.7936741,-4.8670866,"97 Main Street, Largs, North Ayrshire, KA30 8AJ"
2026-08-01,1974371,Love Spice,Takeaway/sandwich shop,,85 Main Street,Kilbirnie,North Ayrshire,KA25 7AA,North Ayrshire,Awaiting Inspection,,FHIS,False,55.754158,-4.6853942,"85 Main Street, Kilbirnie, North Ayrshire, KA25 7AA"
2026-08-01,1974369,Mimi's Breakfast Bar,Takeaway/sandwich shop,,90 Main Road,Fairlie,North Ayrshire,KA29 0AD,North Ayrshire,Awaiting Inspection,,FHIS,False,55.7586525,-4.8539764,"90 Main Road, Fairlie, North Ayrshire, KA29 0AD"
2026-08-01,1974359,Tasties Desserts,Takeaway/sandwich shop,,18 Adams Avenue,Saltcoats,North Ayrshire,KA21 6AL,North Ayrshire,Pass,2026-06-25,FHIS,False,55.6442452,-4.7845593,"18 Adams Avenue, Saltcoats, North Ayrshire, KA21 6AL"
2026-08-01,1974009,Harbour Hamper Co.,Takeaway/sandwich shop,11 Aray Gardens Oban Argyll And Bute PA34 4JX,,,,PA34 4JX,Argyll and Bute,Awaiting Inspection,2026-07-01,FHIS,False,56.3984079,-5.4672878,"11 Aray Gardens Oban Argyll And Bute PA34 4JX, PA34 4JX"
2026-08-01,1974330,3Fs,Takeaway/sandwich shop,108A Norwood High Street,London,,,SE27 9NH,Lambeth,AwaitingInspection,,FHRS,False,51.428352,-0.1008085,"108A Norwood High Street, London, SE27 9NH"
2026-08-01,1966041,Alice MacKinnon,Takeaway/sandwich shop,,,,,,Lambeth,5,2026-07-23,FHRS,False,,,
2026-08-01,1974306,BBQ Drive,Takeaway/sandwich shop,,,,,,Lambeth,AwaitingInspection,,FHRS,False,,,
2026-08-01,1974320,Charlie's Clapham,Takeaway/sandwich shop,20 - 26 Bedford Road,London,,,SW4 7HJ,Lambeth,AwaitingInspection,,FHRS,False,51.46465,-0.129545,"20 - 26 Bedford Road, London, SW4 7HJ"
2026-08-01,1974308,Crust & Flame,Takeaway/sandwich shop,95 Hambalt Road,London,,,SW4 9EQ,Lambeth,AwaitingInspection,,FHRS,False,51.455861,-0.140037,"95 Hambalt Road, London, SW4 9EQ"
2026-08-01,1974313,Seafood Den,Takeaway/sandwich shop,81 Atlantic Road,London,,,SW9 8PU,Lambeth,AwaitingInspection,,FHRS,False,51.4609514,-0.1108426,"81 Atlantic Road, London, SW9 8PU"
2026-08-01,1973998,Cobalt Bills Bakery,Takeaway/sandwich shop,EG On The Move,Cobalt Park Way,Wallsend,Tyne And Wear,NE27 0BY,North Tyneside,5,2026-07-29,FHRS,False,,,"EG On The Move, Cobalt Park Way, Wallsend, Tyne And Wear, NE27 0BY"
2026-08-01,1974161,Burgers,Takeaway/sandwich shop,,6 Henderson Crescent,Conon Bridge,,IV7 8BS,Highland,Awaiting Inspection,,FHIS,False,57.5666555,-4.4358332,"6 Henderson Crescent, Conon Bridge, IV7 8BS"
2026-08-01,1974131,Butterfingers Bakes,Takeaway/sandwich shop,,7 Clobhsa Nan Cuaraidhean,Broadford,Isle Of Skye,IV49 9DA,Highland,Awaiting Inspection,,FHIS,False,57.2397814,-5.9136594,"7 Clobhsa Nan Cuaraidhean, Broadford, Isle Of Skye, IV49 9DA"
2026-08-01,1974151,Dee-Jay's Cookie Cart,Takeaway/sandwich shop,,7 Trostan Road,Pennyland,Thurso,KW14 7NY,Highland,Awaiting Inspection,,FHIS,False,58.5951399,-3.534948,"7 Trostan Road, Pennyland, Thurso, KW14 7NY"
2026-08-01,1974138,Red Dragon Chinese Takeaway,Takeaway/sandwich shop,The Red Dragon,Rosslyn Street,Brora,,KW9 6NY,Highland,Awaiting Inspection,,FHIS,False,,,"The Red Dragon, Rosslyn Street, Brora, KW9 6NY"
2026-08-01,1974125,The Vale Birchfield Ltd,Takeaway/sandwich shop,,,,,,Highland,Awaiting Inspection,,FHIS,False,,,
2026-08-02,1958547,Hot Wok,Takeaway/sandwich shop,8 Fox Street,,Treharris,,CF46 5HE,Merthyr Tydfil,4,2026-06-26,FHRS,False,51.6655092,-3.3037648,"8 Fox Street, Treharris, CF46 5HE"
