date_added,FHRSID,BusinessName,BusinessType,AddressLine1,AddressLine2,AddressLine3,AddressLine4,PostCode,LocalAuthorityName,RatingValue,RatingDate,SchemeType,NewRatingPending,Latitude,Longitude,AddressSingleLine
2026-02-03,1912334,The Reserve,Hotel/bed & breakfast/guest house,The Reserve Chester Zoo Moston Road,Upton,Chester,Cheshire,CH2 1GA,Cheshire West and Chester,AwaitingInspection,,FHRS,False,53.2243186,-2.8891481,"The Reserve Chester Zoo Moston Road, Upton, Chester, Cheshire, CH2 1GA"
2026-02-03,1912273,Sablé London,Hotel/bed & breakfast/guest house,188 Wandsworth Bridge Road,London,,,SW6 2UF,Hammersmith and Fulham,AwaitingInspection,,FHRS,False,51.4704962,-0.1914848,"188 Wandsworth Bridge Road, London, SW6 2UF"
2026-02-03,1912543,Hazel Bakes,Hotel/bed & breakfast/guest house,,,,,,Stirling,Awaiting Inspection,2026-01-26,FHIS,False,,,
2026-02-05,1913076,Ingleside,Hotel/bed & breakfast/guest house,Ingleside Hotel,Lee Road,LYNTON,Devon,EX35 6HW,North Devon,AwaitingInspection,,FHRS,False,51.230686,-3.8371278,"Ingleside Hotel, Lee Road, LYNTON, Devon, EX35 6HW"
2026-02-05,1909027,Gray's Boutique B&B,Hotel/bed & breakfast/guest house,Grays,9 Upper Oldfield Park,Oldfield Park,Bath,BA2 3JX,Bath and North East Somerset,5,2026-02-04,FHRS,False,51.37534,-2.370574,"Grays, 9 Upper Oldfield Park, Oldfield Park, Bath, BA2 3JX"
2026-02-06,1547641,Lane Head Hotel,Hotel/bed & breakfast/guest house,2 Brighouse Wood Lane,Brighouse,Calderdale,,HD6 2AL,Calderdale,5,2018-05-01,FHRS,False,53.7051396,-1.7888271,"2 Brighouse Wood Lane, Brighouse, Calderdale, HD6 2AL"
2026-02-06,1913378,The Old Star Guest House,Hotel/bed & breakfast/guest house,Old Star Inn,Pye Corner,Bristol Road,Hambrook,BS16 1SE,South Gloucestershire,AwaitingInspection,,FHRS,False,51.5133588,-2.5118285,"Old Star Inn, Pye Corner, Bristol Road, Hambrook, BS16 1SE"
2026-02-07,1569191,The Wellington Hotel,Hotel/bed & breakfast/guest house,Old Road,Boscastle,Cornwall,,PL35 0AQ,Cornwall,5,2026-02-04,FHRS,False,50.689488,-4.692859,"Old Road, Boscastle, Cornwall, PL35 0AQ"
2026-02-07,1913740,Bernwood Park,Hotel/bed & breakfast/guest house,Studley Road,Boarstall,Buckinghamshire,,HP18 9XX,Buckinghamshire,AwaitingInspection,,FHRS,False,,,"Studley Road, Boarstall, Buckinghamshire, HP18 9XX"
2026-02-07,487159,Novotel london blackfriars,Hotel/bed & breakfast/guest house,,46,Blackfriars Road,London,SE1 8NZ,Southwark,AwaitingInspection,,FHRS,True,51.505427,-0.105166,"46, Blackfriars Road, London, SE1 8NZ"
