date_added,FHRSID,BusinessName,BusinessType,AddressLine1,AddressLine2,AddressLine3,AddressLine4,PostCode,LocalAuthorityName,RatingValue,RatingDate,SchemeType,NewRatingPending,Latitude,Longitude,AddressSingleLine
2026-02-02,1912197,Big Bean Energy,Mobile caterer,,,,,,Newham,AwaitingInspection,,FHRS,False,,,
2026-02-02,1912192,Colombican,Mobile caterer,,,,,,Newham,AwaitingInspection,,FHRS,False,,,
2026-02-02,1912199,Miss Dumpling,Mobile caterer,,,,,,Newham,AwaitingInspection,,FHRS,False,,,
2026-02-02,1912204,Moosha,Mobile caterer,,,,,,Newham,AwaitingInspection,,FHRS,False,,,
2026-02-02,1912203,Spiritual Beans,Mobile caterer,19 Silvertown Way,Canning Town,London,,E16 1DH,Newham,AwaitingInspection,,FHRS,False,51.5123458,0.0100338,"19 Silvertown Way, Canning Town, London, E16 1DH"
2026-02-03,1721660,Ramble and roast coffee bar Ltd,Mobile caterer,Oxenholme Station,Oxenholme Road,,Oxenholme,LA9 7HG,Westmorland and Furness,5,2026-01-29,FHRS,False,,,"Oxenholme Station, Oxenholme Road, Oxenholme, LA9 7HG"
2026-02-03,1912457,The Outside Club,Mobile caterer,,,,,,Westmorland and Furness,AwaitingInspection,,FHRS,False,,,
2026-02-03,1912321,The Raw Tipple,Mobile caterer,,,,,,Cheshire West and Chester,AwaitingInspection,,FHRS,False,,,
2026-02-03,1912283,Folks&Flames/Folks&flames Rotisserie,Mobile caterer,12 Gravel Walk,Canterbury,Kent,,CT1 2TF,Canterbury City,AwaitingInspection,,FHRS,False,51.2764687,1.0806483,"12 Gravel Walk, Canterbury, Kent, CT1 2TF"
2026-02-03,1912507,The Waffle Hut,Mobile caterer,,,,,,Walsall,5,2025-08-28,FHRS,False,,,
2026-02-03,1912250,Tongue In A Cloud,Mobile caterer,9 Whitlingham Hall,Kirby Road,Trowse,Norfolk,NR14 8QH,South Norfolk,AwaitingInspection,,FHRS,False,52.6135385,1.3291022,"9 Whitlingham Hall, Kirby Road, Trowse, Norfolk, NR14 8QH"
2026-02-03,1912278,Bawaji,Mobile caterer,10 Drake Court,Scotts Road,London,,W12 8HG,Hammersmith and Fulham,AwaitingInspection,,FHRS,False,,,"10 Drake Court, Scotts Road, London, W12 8HG"
2026-02-03,1912480,The Greekster,Mobile caterer,,,,,,Gateshead,5,2026-01-26,FHRS,False,,,
2026-02-03,1912222,South coast pizza and chicken,Mobile caterer,,,,,,Arun,AwaitingInspection,,FHRS,False,,,
2026-02-03,1912445,Geeks Bakes and Treats,Mobile caterer,,,,,,Sir Gaerfyrddin,AwaitingInspection,,FHRS,False,,,
2026-02-03,1912456,Inspired Industries,Mobile caterer,,9 Lon Cae Ffynnon,Llandeilo,Carmarthenshire,SA19 6DX,Sir Gaerfyrddin,AwaitingInspection,,FHRS,False,51.8846202,-3.9950697,"9 Lon Cae Ffynnon, Llandeilo, Carmarthenshire, SA19 6DX"
2026-02-03,1912442,Tegwen's Preserves,Mobile caterer,,,,,,Sir Gaerfyrddin,AwaitingInspection,,FHRS,False,,,
2026-02-03,1912569,Crafted Crusts,Mobile caterer,24 Oxengate,Arnold,Nottinghamshire,,NG5 6FY,Gedling,AwaitingInspection,,FHRS,False,52.9977312,-1.1528153,"24 Oxengate, Arnold, Nottinghamshire, NG5 6FY"
